freq	SmGamma1
2.20000000000000020E9	8.27663786319761210E-1 / 9.36949327235997130E1
2.21000000000000000E9	8.21722225310481670E-1 / 9.42157040915599530E1
2.21999999999999980E9	8.10300778711153670E-1 / 9.45778651125371890E1
2.23000000000000000E9	8.12200952603987500E-1 / 9.55148124332552760E1
2.23999999999999980E9	8.29724125392966270E-1 / 9.70567767933066430E1
2.25000000000000000E9	8.17660122362642560E-1 / 9.74395859585148650E1
2.26000000000000020E9	7.92023344618228990E-1 / 9.71425488460693030E1
2.27000000000000000E9	7.88927423312460710E-1 / 9.80146021829141740E1
2.28000000000000020E9	7.92828275179767420E-1 / 9.92899304694704730E1
2.29000000000000000E9	7.75711486183485380E-1 / 9.93414358525311950E1
2.29999999999999980E9	7.58199089840030820E-1 / 9.92335675992665860E1
2.31000000000000010E9	7.55364427380163850E-1 / 9.97287153976891540E1
2.31999999999999980E9	7.52933915673419210E-1 / 1.00280746607445570E2
2.33000000000000010E9	7.53386744507249690E-1 / 1.01229698678972870E2
2.33999999999999990E9	7.50871568245465950E-1 / 1.01801768222450640E2
2.35000000000000010E9	7.40075557699967220E-1 / 1.01228547006979190E2
2.36000000000000030E9	7.34519873289152600E-1 / 1.01576426870089360E2
2.37000000000000010E9	7.36524322183421010E-1 / 1.03463692078295240E2
2.37999999999999990E9	7.31808575638824620E-1 / 1.04470961891619970E2
2.38999999999999970E9	7.20347526234553030E-1 / 1.04576852856713430E2
2.39999999999999990E9	7.12724533741525510E-1 / 1.04870511991772370E2
2.41000000000000010E9	7.07091728000284190E-1 / 1.05270586924199570E2
2.41999999999999990E9	7.03403934579991040E-1 / 1.05962686590129660E2
2.43000000000000020E9	7.00369281809661090E-1 / 1.06755306274483640E2
2.43999999999999990E9	6.94891576195739450E-1 / 1.06388744676079710E2
2.45000000000000020E9	6.89621722079526120E-1 / 1.05860369997239910E2
2.46000000000000000E9	6.88775232731685080E-1 / 1.07958738297694620E2
2.46999999999999980E9	6.87183919287112310E-1 / 1.09815398288098230E2
2.48000000000000000E9	6.74571345103570150E-1 / 1.09584018145298410E2
2.48999999999999980E9	6.64894142885440240E-1 / 1.09538637199747830E2
2.50000000000000000E9	6.61025085887474620E-1 / 1.09986447870788260E2
2.51000000000000020E9	6.57797373759484930E-1 / 1.10492215777324580E2
2.52000000000000000E9	6.55586568875157650E-1 / 1.11093606026204530E2
2.53000000000000020E9	6.52791883908446200E-1 / 1.11144960034124330E2
2.54000000000000000E9	6.49601090296600250E-1 / 1.10645884121993050E2
2.54999999999999980E9	6.48975431408189160E-1 / 1.11873523836560460E2
2.56000000000000010E9	6.50944775078973590E-1 / 1.14202617786206970E2
2.56999999999999980E9	6.43049248027160300E-1 / 1.14650152036705900E2
2.58000000000000010E9	6.32455946230183130E-1 / 1.14481525989327330E2
2.58999999999999990E9	6.33629833470110170E-1 / 1.15522369515640500E2
2.60000000000000010E9	6.36783234880790610E-1 / 1.16772456342392420E2
2.61000000000000030E9	6.26690109343018160E-1 / 1.16384107460557780E2
2.62000000000000010E9	6.18405776464505230E-1 / 1.16186223888746640E2
2.62999999999999990E9	6.16144434798086140E-1 / 1.17005046396635490E2
2.63999999999999970E9	6.13435720913774760E-1 / 1.17702169269951360E2
2.64999999999999990E9	6.09375873367178220E-1 / 1.18020429566155990E2
2.66000000000000010E9	6.06012407782885280E-1 / 1.18362673834428840E2
2.66999999999999990E9	6.03689308212874390E-1 / 1.18740350561527470E2
2.68000000000000020E9	6.04029239489371590E-1 / 1.19748454593884680E2
2.68999999999999990E9	6.07532478936826160E-1 / 1.21434778609433040E2
2.70000000000000020E9	6.02978843580952790E-1 / 1.21415567714297530E2
2.71000000000000000E9	5.94571058905989780E-1 / 1.20407211675942240E2
2.71999999999999980E9	5.92630544898614440E-1 / 1.21531697802281060E2
2.73000000000000000E9	5.93111649561131580E-1 / 1.23389226351751340E2
2.73999999999999980E9	5.88371157791334910E-1 / 1.23609619451253790E2
2.75000000000000000E9	5.83018522987491390E-1 / 1.23606594788196530E2
2.76000000000000020E9	5.77431805355147710E-1 / 1.23975752973767680E2
2.77000000000000000E9	5.72688589265868410E-1 / 1.24430044069393420E2
2.78000000000000020E9	5.73131034527358810E-1 / 1.25476842068149400E2
2.79000000000000000E9	5.73211404583658530E-1 / 1.26061786643049300E2
2.79999999999999980E9	5.72098890396898520E-1 / 1.25236367733600070E2


